[33mWARN[0m[2023-11-21 08:37:39] not enable search                            
[GIN] 2023/11/21 - 08:39:52 | 200 |     527.139µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/21 - 08:39:53 | 200 |     541.678µs |  192.168.15.118 | GET      "/assets/index.d81a3e4b.css"
[GIN] 2023/11/21 - 08:39:53 | 200 |   24.489067ms |  192.168.15.118 | GET      "/assets/index.2ea96c44.js"
[GIN] 2023/11/21 - 08:39:53 | 200 |     648.603µs |  192.168.15.118 | GET      "/assets/entry.5bc3938b.js"
[GIN] 2023/11/21 - 08:39:53 | 200 |    1.297291ms |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/21 - 08:39:53 | 200 |     694.891µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/21 - 08:39:53 | 200 |     213.551µs |  192.168.15.118 | GET      "/assets/index.6583fa72.js"
[GIN] 2023/11/21 - 08:39:53 | 200 |     350.326µs |  192.168.15.118 | GET      "/assets/index.3e839e3c.js"
[GIN] 2023/11/21 - 08:39:53 | 200 |     114.554µs |  192.168.15.118 | GET      "/assets/webauthn-json.browser-ponyfill.1c672167.js"
[GIN] 2023/11/21 - 08:39:56 | 200 |     101.811µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/21 - 09:16:03 | 200 |    1.270764ms |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:06 | 200 |     212.275µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:13 | 200 |     215.514µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:18 | 200 |     171.731µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:30 | 200 |     532.302µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:36 | 200 |     253.676µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:39 | 200 |       257.2µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:16:41 | 200 |     705.845µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/21 - 09:16:42 | 200 |     268.603µs |  192.168.15.118 | POST     "/api/auth/login/hash"
